Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
70,"Sony BRAVIA XR 55"" 4K UHD HDR OLED Google TV Smart TV (XR55A80K) - 2022 - Titanium Black",(891 Reviews),"$1,899.99",$150,Sony,OLED,55,4K
71,"LG NanoCell 43"" 4K UHD HDR LED webOS Smart TV (43NANO75UQA) - 2022 - Ashed Blue",(495 Reviews),$549.99,NA,LG,LED,43,4K
72,"TCL 65"" QM-Series 4K UHD HDR QLED Smart Google TV (65QM850G-CA) - 2023",(7 Reviews),"$1,999.99",15.5,NA,LED,65,4K
73,"LG 65"" 4K UHD HDR OLED webOS Smart TV (OLED65B2PUA) - 2022",(1057 Reviews),"$1,799.99",$100,LG,OLED,65,4K
74,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q80CAFXZC) - 2023 - Titan Black",(24 Reviews),"$1,299.99",15.5,Samsung,LED,55,4K
75,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50CU7000FXZC) - 2023 - Titan Grey",(141 Reviews),$649.99,15.5,Samsung,LED,50,4K
76,"Samsung 75"" 4K UHD HDR QLED Tizen Smart TV (QN75Q60BAFXZC) - Titan Grey",(246 Reviews),"$1,999.99",NA,Samsung,LED,75,4K
77,"Samsung The Frame 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS03BAFXZC) - 2022 - Charcoal Black",(415 Reviews),"$1,199.99",15.5,Samsung,LED,43,4K
78,"Sony X80K 65"" 4K UHD HDR LED Smart Google TV (KD65X80K) - 2022",(742 Reviews),"$1,099.99",15.5,Sony,LED,65,4K
79,"LG G3 65"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED65G3PUA) - 2023 - Satin Silver",(32 Reviews),"$3,999.99",15.5,LG,OLED,65,4K
80,"Sony X80K 55"" 4K UHD HDR LED Smart Google TV (KD55X80K) - 2022",(555 Reviews),$899.99,$80,Sony,LED,55,4K
81,"Open Box - Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU7000FXZC) - Titan Grey",(1 Review),$939.99,12.2,Samsung,LED,75,4K
82,"Insignia 40"" 1080p LED TV (NS-40D510CA21) - 2020 - Only at Best Buy",(22 Reviews),$299.99,"$10,499.99",Insignia,LED,40,1080p
83,"Samsung 85"" 8K UHD HDR Neo QLED Tizen Smart TV (QN85QN900CFXZC) - 2023 - Titan Black",(49 Reviews),NA,$40,Samsung,LED,85,NA
